Standard,Control Type,Clause / Annex Section,Domain / Control Area,Control ID,Control Title,Control Description,Control Objective,Audit Question,Expected Evidence,Audit Method,Applicable (Y/N),Status,Remarks,,,
ISO/IEC 42001:2023,Clause,6,Planning,6.2,AI objectives and planning to achieve them,The organization shall establish AI objectives at relevant functions and levels. The AI objectives shall: a) be consistent with the AI policy; b) be measurable (if practicable); c) be monitored.,To set and track measurable AI goals.,Are AI objectives established, measurable, and monitored?,AI Objectives; Action Plans,Review,Y,,,
ISO/IEC 42001:2023,Clause,6,Planning,6.3,Planning of changes,"When the organization determines the need for changes to the AI management system, the changes shall be carried out in a planned manner.",To manage changes to the AIMS effectively.,Are changes to the AIMS carried out in a planned manner?,Change Management Logs; Project Plans,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,7,Support,7.1,Resources,"The organization shall determine and provide the resources needed for the establishment, implementation, maintenance and continual improvement of the AI management system.",To provide necessary resources for the AIMS.,Are the resources needed for the AIMS determined and provided?,Resource Allocation Budget; Resource Inventory,Interview/Review,Y,,,,,
ISO/IEC 42001:2023,Clause,7,Support,7.2,Competence,"The organization shall: a) determine the necessary competence of person(s) doing work under its control that affects the performance of the AI management system; b) ensure that these persons are competent on the basis of appropriate education, training, or experience.",To ensure personnel are competent.,Is the competence of personnel affecting AIMS performance determined and ensured?,Training Records; Certificates; Skills Matrix,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,7,Support,7.3,Awareness,Persons doing work under the organization’s control shall be aware of: a) the AI policy; b) their contribution to the effectiveness of the AI management system.,To ensure awareness of AIMS.,Are persons aware of the AI policy and their contribution to AIMS?,Training Attendance Logs; Awareness Materials,Interview,Y,,,,,
ISO/IEC 42001:2023,Clause,7,Support,7.4,Communication,The organization shall determine the internal and external communications relevant to the AI management system.,To manage AIMS-related communications.,Are internal and external communications relevant to AIMS determined?,Communication Plan,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,7,Support,7.5.1,Documented information - General,The organization’s AI management system shall include: a) documented information required by this document; b) documented information determined by the organization as being necessary for the effectiveness of the AI management system.,To control necessary documentation.,Does the AIMS include required and necessary documented information?,Master List of Documents,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,7,Support,7.5.2,Creating and updating,"When creating and updating documented information, the organization shall ensure appropriate: a) identification and description; b) format and media; c) review and approval for suitability and adequacy.",To ensure proper creation and updating of documents.,Are documented information appropriately identified, formatted, reviewed, and approved?,Document Control Procedure; Document Review Records,Review,Y,,
ISO/IEC 42001:2023,Clause,7,Support,7.5.3,Control of documented information,"Documented information required by the AI management system and by this document shall be controlled to ensure: a) it is available and suitable for use, where and when it is needed; b) it is adequately protected (e.g. from loss of confidentiality, improper use, or loss of integrity).",To ensure availability and protection of documents.,Is documented information controlled and protected?,Access Control Lists; Backup Logs; Document Versioning,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,8,Operation,8.1,Operational planning and control,"The organization shall plan, implement and control the processes needed to meet requirements, and to implement the actions determined in 6.1.",To control operational processes.,Are processes planned, implemented, and controlled to meet requirements?,Operational Procedures; Process Control Records,Observation/Review,Y,,,
ISO/IEC 42001:2023,Clause,8,Operation,8.2,AI risk assessment,The organization shall perform AI risk assessments at planned intervals or when significant changes are proposed or occur.,To ensure ongoing risk assessment.,Are AI risk assessments performed at planned intervals or upon changes?,Risk Assessment Schedule; Updated Risk Assessments,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,8,Operation,8.3,AI risk treatment,The organization shall implement the AI risk treatment plan.,To execute the risk treatment plan.,Is the AI risk treatment plan implemented?,Risk Treatment Records; Implementation Evidence,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,8,Operation,8.4,AI system impact assessment,The organization shall perform AI system impact assessments at planned intervals or when significant changes are proposed or occur.,To ensure ongoing impact assessment.,Are AI system impact assessments performed at planned intervals or upon changes?,Impact Assessment Schedule; Assessment Reports,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,9,Performance evaluation,9.1,Monitoring, measurement, analysis and evaluation,"The organization shall determine: a) what needs to be monitored and measured; b) the methods for monitoring, measurement, analysis and evaluation, as applicable, to ensure valid results.",To evaluate AIMS performance.,Are monitoring, measurement, analysis, and evaluation processes determined?,Performance Metrics; Monitoring Reports,Review,Y
ISO/IEC 42001:2023,Clause,9,Performance evaluation,9.2,Internal audit,The organization shall conduct internal audits at planned intervals to provide information on whether the AI management system conforms to requirements.,To verify AIMS conformity.,Are internal audits conducted at planned intervals?,Internal Audit Program; Audit Reports,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,9,Performance evaluation,9.3,Management review,"Top management shall review the organization’s AI management system at planned intervals to ensure its continuing suitability, adequacy and effectiveness.",To ensure management oversight.,Does top management review the AIMS at planned intervals?,Management Review Minutes,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,10,Improvement,10.1,Continual improvement,"The organization shall continually improve the suitability, adequacy and effectiveness of the AI management system.",To enhance AIMS performance over time.,Does the organization continually improve the AIMS?,Improvement Logs; Trend Analysis,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,10,Improvement,10.2,Nonconformity and corrective action,"When a nonconformity occurs, the organization shall: a) react to the nonconformity and, as applicable: 1) take action to control and correct it; 2) deal with the consequences.",To address nonconformities.,Does the organization react to nonconformities and take corrective action?,Nonconformity Reports; Corrective Action Plans,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.2,Policies related to AI,A.2.1,AI policy,The organization shall document a policy for the development or use of AI systems.,To provide management direction and support for AI systems.,Is there a documented AI policy?,AI Policy Document,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.2,Policies related to AI,A.2.2,Alignment with other organizational policies,"The organization shall determine where other policies can be affected by, or apply to, the organization’s objectives with respect to AI systems.",To ensure AI policy is consistent with other policies.,Are other policies aligned with AI objectives?,Policy Mapping Document,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.2,Policies related to AI,A.2.3,Review of the AI policy,"The AI policy shall be reviewed at planned intervals or additionally as needed to ensure its continuing suitability, adequacy and effectiveness.",To keep the AI policy relevant.,Is the AI policy reviewed regularly?,Policy Review Minutes,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.3,Internal organization,A.3.1,AI roles and responsibilities,Roles and responsibilities for AI shall be defined and allocated according to the needs of the organization.,To establish accountability for AI systems.,Are AI roles and responsibilities defined?,Job Descriptions,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.3,Internal organization,A.3.2,Reporting of concerns,The organization shall define and put in place a process to report concerns about the organization's role with respect to an AI system throughout its life cycle.,To enable reporting of AI-related concerns.,Is there a process for reporting AI concerns?,Whistleblower Policy; Reporting Tool,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.4,Resources for AI systems,A.4.1,Resource documentation,The organization shall identify and document relevant resources required for the activities at given AI system life cycle stages and other AI-related activities relevant for the organization.,To manage resources for AI systems.,Are AI system resources identified and documented?,Resource Inventory,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.4,Resources for AI systems,A.4.2,Data resources,"As part of resource identification, the organization shall document information about the data resources utilized for the AI system.",To ensure data resources are managed.,Are data resources for AI documented?,Data Inventory,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.4,Resources for AI systems,A.4.3,Tooling resources,"As part of resource identification, the organization shall document information about the tooling resources utilized for the AI system.",To ensure tooling resources are managed.,Are tooling resources documented?,Tooling Inventory,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.4,Resources for AI systems,A.4.4,System and computing resources,"As part of resource identification, the organization shall document information about the system and computing resources utilized for the AI system.",To ensure computing resources are managed.,Are computing resources documented?,Asset Register,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.4,Resources for AI systems,A.4.5,Human resources,"As part of resource identification, the organization shall document information about the human resources and their competences utilized for the development, deployment, operation, change management, maintenance, transfer and decommissioning, as well as verification and integration of the AI system.",To ensure human resources are managed.,Are human resources and competences documented?,Skills Matrix,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.5,Assessing impacts of AI systems,A.5.1,Assessing AI system impact on individuals or groups of individuals,The organization shall assess and document the potential impacts of AI systems to individuals or groups of individuals throughout the system’s life cycle.,To evaluate impacts on people.,Are impacts on individuals/groups assessed?,Impact Assessment Reports,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.5,Assessing impacts of AI systems,A.5.2,Assessing societal impacts of AI systems,The organization shall assess and document the potential societal impacts of their AI systems throughout their life cycle.,To evaluate societal impacts.,Are societal impacts assessed?,Societal Impact Assessment,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.5,Assessing impacts of AI systems,A.5.3,Documentation of AI system impact assessments,The organization shall document the results of AI system impact assessments and retain results for a defined period.,To record impact assessments.,Are impact assessment results documented?,Impact Assessment Records,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.6,AI system life cycle,A.6.1,AI system life cycle definition,The organization shall define and document its AI system life cycle stages and associated processes.,To define the AI lifecycle.,Is the AI system lifecycle defined?,Lifecycle Policy,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.6,AI system life cycle,A.6.2,AI system requirements and specification,The organization shall define and document the requirements and specification for the AI system.,To specify AI system requirements.,Are AI system requirements defined?,Requirement Specifications,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.6,AI system life cycle,A.6.3,AI system design and development,The organization shall design and develop the AI system in accordance with the requirements and specification.,To ensure compliant design and development.,Is the AI system designed per requirements?,Design Documents,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.6,AI system life cycle,A.6.4,AI system verification and validation,The organization shall verify and validate the AI system against the requirements and specification.,To verify and validate the AI system.,Is the AI system verified and validated?,V&V Reports,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.6,AI system life cycle,A.6.5,AI system deployment,The organization shall deploy the AI system in accordance with the requirements and specification.,To ensure controlled deployment.,Is the AI system deployed correctly?,Deployment Records,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.6,AI system life cycle,A.6.6,AI system operation and monitoring,The organization shall operate and monitor the AI system in accordance with the requirements and specification.,To ensure controlled operation.,Is the AI system operated and monitored?,Operation Logs,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.6,AI system life cycle,A.6.7,AI system technical documentation,The organization shall produce and maintain technical documentation for the AI system.,To maintain technical documentation.,Is technical documentation maintained?,Technical Manuals,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.6,AI system life cycle,A.6.8,AI system event logging,The organization shall define and record the events to be logged for the AI system.,To log AI system events.,Are AI system events logged?,Event Logs,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.7,Data for AI systems,A.7.1,Data for development and enhancement of AI system,The organization shall define and document the requirements for data used for the development and enhancement of the AI system.,To manage data for AI development.,Are data requirements defined?,Data Requirements Document,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.7,Data for AI systems,A.7.2,Acquisition of data,The organization shall define and document the process for the acquisition of data used for the AI system.,To control data acquisition.,Is the data acquisition process defined?,Data Acquisition Policy,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.7,Data for AI systems,A.7.3,Quality of data for AI systems,The organization shall define and document the quality requirements for the data used for the AI system.,To ensure data quality.,Are data quality requirements defined?,Data Quality Metrics,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.7,Data for AI systems,A.7.4,Provenance of data,The organization shall document the provenance of the data used for the AI system.,To track data origin.,Is data provenance documented?,Data Lineage Records,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.7,Data for AI systems,A.7.5,Data preparation,The organization shall define and document the process for the preparation of data used for the AI system.,To control data preparation.,Is the data preparation process defined?,Data Prep Procedures,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.8,Information for interested parties,A.8.1,System documentation and information for users,The organization shall provide information to users of the AI system to enable them to understand and use the AI system.,To inform users about the AI system.,Is information provided to AI system users?,User Manuals,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.8,Information for interested parties,A.8.2,External reporting,The organization shall define and document the process for external reporting of information related to the AI system.,To manage external reporting.,Is there a process for external reporting?,Reporting Procedures,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.8,Information for interested parties,A.8.3,Communication of incidents,The organization shall define and document the process for the communication of incidents related to the AI system to interested parties.,To communicate incidents.,Is there a process for incident communication?,Incident Response Plan,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.9,Use of AI systems,A.9.1,Processes for responsible use of AI systems,The organization shall define and document processes for the responsible use of AI systems.,To ensure responsible AI use.,Are responsible use processes defined?,Responsible AI Policy,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.9,Use of AI systems,A.9.2,Objectives for responsible use of AI system,The organization shall define and document objectives for the responsible use of the AI system.,To set responsible use objectives.,Are responsible use objectives defined?,Objectives Document,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.9,Use of AI systems,A.9.3,Intended use of the AI system,The organization shall define and document the intended use of the AI system.,To define intended use.,Is the intended use of the AI system defined?,Intended Use Statement,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.10,Third-party and customer relationships,A.10.1,Allocating responsibilities,The organization shall define and document the allocation of responsibilities between the organization and third parties or customers.,To allocate responsibilities with third parties.,Are responsibilities with third parties defined?,Contracts; SLAs,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.10,Third-party and customer relationships,A.10.2,Supplier relationships,The organization shall define and document the requirements for supplier relationships related to the AI system.,To manage supplier relationships.,Are supplier requirements defined?,Supplier Policy,Review,Y,,,,,
ISO/IEC 42001:2023,Annex A,A.10,Third-party and customer relationships,A.10.3,Customer relationships,The organization shall define and document the requirements for customer relationships related to the AI system.,To manage customer relationships.,Are customer requirements defined?,Customer Agreements,Review,Y,,,,,
